booking_id;fecha_reserva;check_in;check_out;noches;ingresos_total;plataforma;cantidad_personas;uso_tinaja
;;15-04-2022;18-04-2022;4;350000;WhatsApp;;SĪ
;;27-06-2022;01-07-2022;4;578580;Airbnb;;SĪ
;;05-07-2022;09-07-2022;4;655724;Airbnb;;SĪ
;;10-07-2022;15-07-2022;5;1000000;WhatsApp;;No
;;16-07-2022;18-07-2022;2;308576;Airbnb;;No
;;18-07-2022;20-07-2022;2;308579;Airbnb;;No
;;20-07-2022;24-07-2022;4;771440;Airbnb;;No
;;25-07-2022;28-07-2022;3;578580;Airbnb;;No
;;29-07-2022;31-07-2022;2;400000;WhatsApp;;No
;;04-08-2022;08-08-2022;4;617152;Airbnb;;No
;;09-08-2022;12-08-2022;3;501436;Airbnb;;No
;;18-08-2022;21-08-2022;3;462867;Airbnb;;No
;;21-08-2022;24-08-2022;3;520722;Airbnb;;No
;;08-09-2022;11-09-2022;3;520722;Airbnb;;SĪ
;;12-09-2022;15-09-2022;3;520722;Airbnb;;SĪ
;;16-09-2022;19-09-2022;3;578576;Airbnb;;No
;;20-09-2022;22-09-2022;2;385720;Airbnb;;SĪ
;;23-09-2022;25-09-2022;2;385720;Airbnb;;SĪ
;;08-10-2022;10-10-2022;2;327862;Airbnb;;No
;;24-10-2022;28-10-2022;4;685000;Booking;;SĪ
;;29-10-2022;01-11-2022;3;485900;Booking;;SĪ
;;11-11-2022;13-11-2022;2;289290;Airbnb;;SĪ
;;17-11-2022;21-11-2022;4;550000;Booking;;SĪ
;;17-12-2022;20-12-2022;3;532138;Booking;;No
;;28-12-2022;31-12-2022;3;376076;Airbnb;;No
;;04-01-2023;08-01-2023;4;600000;Booking;;No
;;01-02-2023;06-02-2023;5;709725;Airbnb;;No
;;08-02-2023;13-02-2023;5;709725;Airbnb;;No
;;14-02-2023;20-02-2023;6;851670;Airbnb;;No
;;07-04-2023;09-04-2023;2;289290;Airbnb;;No
;;19-05-2023;21-05-2023;2;270004;Airbnb;;No
;;25-05-2023;28-05-2023;3;425523;Booking;;No
;;03-06-2023;05-06-2023;2;380000;Interno;;No
;;30-06-2023;02-07-2023;2;498000;Booking;;No
;;03-07-2023;06-07-2023;3;720000;Booking;;No
;;08-07-2023;14-07-2023;6;1428321;Airbnb;;No
;;15-07-2023;23-07-2023;8;1715000;Instagram;;No
;;24-07-2023;31-07-2023;7;1498000;Interno;;No
;;31-07-2023;06-08-2023;6;1400000;Booking;;No
;;11-08-2023;13-08-2023;2;310000;facebook;;No
;;14-08-2023;16-08-2023;2;381000;Airbnb;;No
;;17-08-2023;19-08-2023;2;390000;Interno;;No
;;20-08-2023;26-08-2023;6;1200000;Recomendación;;No
;;01-09-2023;03-09-2023;2;347148;Airbnb;;No
;;03-09-2023;08-09-2023;0;1301805;Airbnb;;No
;;09-09-2023;16-09-2023;7;1419640;Airbnb;;No
;;18-09-2023;23-09-2023;5;950000;Interno;;No
;;02-11-2023;05-11-2023;3;510000;Interno;;No
;;16-11-2023;18-11-2023;2;308000;Booking;;No
;;05-02-2024;08-02-2024;3;376077;Airbnb;;No
;;09-02-2024;11-02-2024;2;284469;Airbnb;;SĪ
;;02-09-2024;07-09-2024;5;887155;Airbnb;;No
;;12-02-2024;16-02-2024;4;535187;Airbnb;;SĪ
;;17-02-2024;20-02-2024;3;376077;Airbnb;;SĪ
;;21-02-2024;25-02-2024;4;501439;Airbnb;;SĪ
;;02-03-2024;06-03-2024;4;496807;Airbnb;;SĪ
;;24-03-2024;28-03-2024;4;496811;Airbnb;;No
;;29-03-2024;31-03-2024;2;230661;Airbnb;;SĪ
;;05-04-2024;07-04-2024;2;260000;Instagram;;No
;;13-04-2024;15-04-2024;2;250716;Airbnb;;No
;;10-05-2024;12-05-2024;2;250718;Airbnb;;SĪ
;;18-05-2024;20-05-2024;2;264411;Airbnb;;No
;;21-05-2024;25-05-2024;4;501436;Airbnb;;No
;;25-05-2024;27-05-2024;2;260000;Instagram;;No
;;09-06-2024;12-06-2024;3;630000;Recomendación;;No
;;14-06-2024;16-06-2024;2;419471;Airbnb;;No
;;17-06-2024;20-06-2024;3;690000;Booking;;No
;;21-06-2024;23-06-2024;2;354862;Airbnb;;No
;;24-06-2024;30-06-2024;6;1224275;Airbnb;;No
;;01-07-2024;04-07-2024;3;612138;Airbnb;;No
;;04-07-2024;07-07-2024;3;660000;Instagram;;No
;;08-07-2024;12-07-2024;4;816184;Airbnb;;No
;;13-07-2024;15-07-2024;2;441842;Airbnb;;No
;;13-07-2024;16-07-2024;3;597866;Airbnb;;No
;;15-07-2024;19-07-2024;4;944112;Booking;;No
;;20-07-2024;22-07-2024;2;381477;Airbnb;;No
;;25-07-2024;28-07-2024;3;572220;Airbnb;;No
;;29-07-2024;02-08-2024;4;858600;Booking;;No
;;03-08-2024;05-08-2024;2;381477;Airbnb;;No
;;09-08-2024;11-08-2024;2;381477;Airbnb;;No
;;15-08-2024;18-08-2024;3;572216;Airbnb;;No
;;22-08-2024;25-08-2024;3;600000;Interno;;No
;;30-08-2024;02-09-2024;3;570000;Recomendación;;No
;;16-09-2024;21-09-2024;5;1000000;Instagram;;No
;;02-10-2024;05-10-2024;3;486907;Booking;;No
;;12-10-2024;16-10-2024;4;617152;Airbnb;;No
;;23-12-2024;25-12-2024;2;266147;Airbnb;;No
;;17-01-2025;22-01-2025;5;723228;Airbnb;;SĪ
;;25-01-2025;03-02-2025;9;1260000;Interno;;SĪ
;;06-02-2025;09-02-2025;3;433935;Airbnb;;SĪ
;;10-02-2025;16-02-2025;6;867870;Airbnb;;SĪ
;;21-02-2025;24-02-2025;3;332681;Airbnb;;SĪ
;;04-03-2025;07-03-2025;3;433936;Airbnb;;SĪ
;;11-03-2025;16-03-2025;5;750000;Interno;;SĪ
;;16-04-2025;20-04-2025;4;578585;Airbnb;;SĪ
;;25-04-2025;27-04-2025;2;360000;Interno;;SĪ
;;13-05-2025;16-05-2025;3;480000;Interno;;SĪ
;;16-05-2025;18-05-2025;0;100000;Interno;;No
;;21-05-2025;25-05-2025;4;600000;Interno;;SĪ
;;25-05-2025;28-05-2025;3;450000;Interno;;SĪ
;;29-05-2025;01-06-2025;3;480000;Interno;;SĪ
;;12-06-2025;15-06-2025;3;607509;Airbnb;;SĪ
;;16-06-2025;20-06-2025;4;810008;Airbnb;;SĪ
;;21-06-2025;28-06-2025;7;1489844;Airbnb;;SĪ
;;28-06-2025;01-07-2025;0;233000;Interno;;SĪ
;;01-07-2025;06-07-2025;5;1100000;Interno;;SĪ
;;06-07-2025;09-07-2025;3;660000;intenro;;SĪ
;;09-07-2025;11-07-2025;2;433935;Airbnb;;SĪ
;;11-07-2025;13-07-2025;2;490000;Interno;;SĪ
;;13-07-2025;16-07-2025;3;621974;Airbnb;;SĪ
;;16-07-2025;19-07-2025;3;660000;Interno;;SĪ
;;19-07-2025;22-07-2025;3;607509;Airbnb;;SĪ
;;22-07-2025;28-07-2025;6;1380000;Interno;;SĪ
;;28-07-2025;03-08-2025;6;1320000;Recomendación;;SĪ
;;06-08-2025;08-08-2025;2;455006;Airbnb;;No
;;08-08-2025;13-08-2025;5;1150000;Interno;;SĪ
;;14-08-2025;17-08-2025;3;765000;Booking;;SĪ
;;21-08-2025;24-08-2025;3;750000;itnerno;;SĪ
;;29-08-2025;31-08-2025;0;255000;Booking;;No
;;05-09-2025;07-09-2025;2;534500;Booking;;SĪ
;;15-09-2025;19-09-2025;4;920000;Interno;;SĪ
;;20-09-2025;23-09-2025;3;549651;Airbnb;;SĪ
;;24-09-2025;29-09-2025;5;1012512;Airbnb;;SĪ
;;13-10-2025;16-10-2025;3;490000;Booking;;SĪ
;;31-10-2025;02-11-2025;2;330000;Interno;;No
;;02-11-2025;04-11-2025;2;320000;Interno;;No
;;06-11-2025;09-11-2025;3;433935;Airbnb;;SĪ
;;22-11-2025;25-11-2025;3;470000;Interno;;SĪ
;;01-12-2025;03-12-2025;2;320000;Interno;;No
;;15-12-2025;18-12-2025;3;480000;Interno;;SĪ
;;23-12-2025;25-12-2025;2;289290;Airbnb;;No
;;27-12-2025;29-12-2025;2;340000;Booking;;No
;;29-12-2025;10-01-2025;12;1690909;Interno;;No
